User ID,Age,Daily Work Hours,Daily Leisure Hours,Daily Exercise Minutes,Daily Sleep Hours,Screen Time (hours),Commute Time (hours),Productivity Score
1,58,8.41,3.18,86,8.85,5.98,1.61,17
2,48,5.82,2.8,45,6.84,4.34,0.89,11
3,34,6.07,0.52,82,6.29,1.37,0.55,15
4,27,9.95,3.0,25,6.19,5.01,0.84,23
5,40,4.61,4.7,49,5.17,4.75,0.85,9
6,58,6.43,2.01,25,7.74,3.01,1.14,12
7,38,4.37,4.85,70,6.05,1.62,0.08,12
8,42,8.93,2.11,31,8.84,3.49,0.5,19
9,30,4.55,1.13,110,5.84,4.82,0.93,12
10,30,8.04,2.29,116,7.12,1.38,1.08,15
11,43,4.34,2.73,96,7.94,1.82,0.32,16
12,55,8.04,3.33,43,8.48,4.09,0.39,21
13,59,9.06,2.77,25,5.63,3.8,1.46,16
14,43,6.39,2.92,60,8.94,5.53,1.57,14
15,22,7.13,0.61,87,8.63,5.07,0.15,20
16,41,6.41,1.64,50,8.85,5.59,1.98,14
17,21,5.8,1.9,58,8.41,3.33,0.87,16
18,43,8.82,4.94,86,8.51,4.94,1.17,20
19,49,5.63,1.83,37,7.4,1.24,1.19,11
20,57,8.34,4.53,25,8.38,2.47,0.69,23
21,21,5.24,1.87,44,7.14,4.22,1.09,11
22,40,5.5,0.93,30,7.15,4.82,1.17,12
23,52,6.02,1.61,69,7.25,3.85,1.52,13
24,31,7.53,1.73,44,8.99,3.4,1.32,18
25,41,6.73,4.9,30,5.42,2.17,0.89,15
26,44,8.47,3.53,110,8.22,1.87,0.38,21
27,46,5.28,4.69,60,6.09,5.38,0.05,14
28,47,4.06,4.26,47,6.44,1.71,1.3,9
29,35,8.66,3.1,103,5.32,3.18,0.96,15
30,34,8.93,3.54,44,6.41,5.44,1.93,20
31,22,4.36,3.31,108,8.96,1.74,0.2,17
32,56,7.67,3.5,59,6.59,1.64,0.15,16
33,26,6.27,1.69,60,7.68,4.46,0.36,18
34,40,8.76,2.34,51,5.48,2.66,0.75,18
35,28,9.25,3.17,51,8.69,3.18,0.35,23
36,58,9.11,0.66,75,8.31,4.13,0.93,21
37,37,8.66,2.67,114,6.55,2.89,0.68,19
38,23,5.61,4.37,80,6.39,5.0,2.0,13
39,44,8.87,2.72,61,6.73,5.84,1.93,16
40,33,7.2,2.99,25,6.61,5.67,0.73,11
41,28,4.32,1.41,66,6.03,3.73,1.58,8
42,45,6.74,4.07,78,8.96,2.77,0.48,20
43,21,9.65,2.11,48,8.24,3.17,0.12,20
44,39,9.33,4.8,101,6.07,2.65,0.08,19
45,47,4.61,4.97,87,8.93,3.21,0.06,17
46,26,8.46,4.62,114,5.06,1.06,1.47,18
47,27,8.83,0.88,93,6.75,1.28,0.68,19
48,54,5.63,2.0,43,7.28,4.86,1.65,15
49,33,6.83,4.75,35,5.15,2.67,1.75,16
50,36,8.27,4.12,52,5.64,4.97,0.61,13
51,55,6.63,4.6,118,6.03,3.4,0.58,18
52,59,4.68,3.08,43,7.88,5.03,0.62,11
53,23,8.24,2.66,90,8.76,4.32,0.95,22
54,21,9.47,0.98,21,7.5,2.01,0.03,21
55,25,7.91,4.28,1,7.25,3.24,0.02,17
56,23,8.64,3.85,6,7.15,4.52,1.47,19
57,48,6.15,0.76,15,6.4,2.65,1.62,11
58,37,5.1,1.44,87,8.31,1.97,0.41,14
59,45,7.86,3.01,93,7.16,3.7,1.19,19
60,53,5.97,3.58,43,5.92,2.37,0.43,12
61,29,9.16,1.12,111,5.55,3.97,1.47,14
62,55,4.74,1.6,109,8.94,2.36,0.84,12
63,33,6.6,1.37,64,5.07,5.53,1.65,15
64,50,6.38,1.49,117,8.73,2.72,1.9,18
65,34,9.63,4.64,90,5.87,5.54,1.11,20
66,27,4.92,3.72,72,7.63,2.4,1.8,15
67,33,4.06,3.82,70,6.21,4.02,0.07,16
68,42,5.43,4.07,68,8.44,1.65,0.93,18
69,59,8.92,2.1,60,7.17,4.89,1.01,16
70,40,5.26,3.95,29,5.56,2.0,0.83,13
71,35,5.45,4.9,41,6.08,5.32,0.63,14
72,37,4.78,3.64,90,6.28,3.26,1.45,11
73,43,8.29,2.38,73,8.54,1.47,1.11,20
74,45,4.42,3.72,24,8.07,2.82,0.16,12
